actualPP,accPercent,combo,nmiss,hitJudgement,approachRate,circleSize,drainRate,rating,EZ,HT,HD,NC,DT,HR,FL
428.499,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,1,1
428.499,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,1,1
411.889,99.55,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,1,1
1008.38,99.55,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,1,1,0
1005.51,99.55,191,0,9.2,9.4,4,6.2,6.1,0,0,1,0,1,1,0
984.417,99.09,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,1,1,0
337.967,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,0,1
337.967,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,0,1
337.967,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,0,1
337.967,100.00,192,0,9.2,9.4,4,6.2,6.1,0,0,1,0,0,0,1